REF.,DESCRIÇÃO,Grupo,Sub Grupo,Marca/ Fornec,Cor,Tamanho,Un,CUSTO,Unitário,ETIQ.,TIPO,,,,STATUS_DOWNLOAD,QTD_IMAGENS
1174,"CORTINA BLACKOUT VOIL 3X1,8",ENXOVAL,DECORAÇÃO,,PADRÃO,PADRÃO,Un,"R$52,00"," R$ 160,00 ", SIM , ADESIVA,,,,OK,5
1175,CAMISETA PERUANA,VESTUARIO,VEST/MASC,,PADRÃO,M/G/GG,Un,"R$35,00"," R$ 99,00 ", SIM, TAG,,,,OK,5
1176,BLUSINHA FEMININA,VESTUARIO,VEST/MASC,,PADRÃO,PADRÃO,Un,"R$25,00"," R$ 48,00 ", SIM , TAG,,,,OK,5
1177,VIBRADOR ESPIRAL,SEXSHOP,VIBRADOR,,PADRÃO,PADRÃO,Un,"R$13,97"," R$ 60,00 ", SIM, ADESIVA,,,,OK,5
1178,LIP OIL GLOSS ,COSMETICO,COSM/LABIAL,,PADRÃO,PADRÃO,Un,"R$5,13"," R$ 20,00 ",SIM,ADESIVA,,,"213,84",OK,5
1179,PO FACIAL BEAUTIFUL,COSMETICO,COSM/FACIAL,,PADRÃO,PADRÃO,Un,"R$4,21"," R$ 16,90 ",SIM,ADESIVA,,,"208,44",OK,5
1180,ESFOLIANTE FACIAL BISNAGA,COSMETICO,COSM/ESFOLIACAO,,PADRÃO,PADRÃO,Un,"R$6,65"," R$ 28,00 ", SIM, ADESIVA,,,"427,68",OK,5
1181,LIP GLOSS TEDDY MEL,COSMETICO,COSM/LABIAL,,PADRÃO,PADRÃO,Un,"R$5,36"," R$ 20,00 ", NÃO,,,,"204,48",OK,5
1183,TREPADEIRA EXCITANTE,SEXSHOP,SEX/ COSM,HOT FLOWERS,PADRÃO,PADRÃO,Un,"R$5,98","R$ 25,00", SIM, ADESIVA,,,,OK,5
1184,PINTO LOKO ESTIM. MASC,SEXSHOP,SEX/ COSM,HOT FLOWERS,PADRÃO,PADRÃO,Un,"R$7,50"," R$ 28,00 ", SIM, ADESIVA,,,,OK,5
1185,KIT PLUG Rabo Raposa,SEXSHOP,SEX/ PLUG,,PADRÃO,PADRÃO,Un,"R$20,28"," R$ 75,00 ", SIM, ADESIVA,,,,OK,5
1186,MELZINHO ARABE PRAZER,SEXSHOP,SEX/ COSM,,PADRÃO,PADRÃO,Un,"R$6,38"," R$ 25,00 ", SIM, ADESIVA,,,,OK,5
1187,PLUG RABO RAPOSA,SEXSHOP,SEX/ PLUG,,PADRÃO,PADRÃO,Un,"R$12,17"," R$ 50,00 ", SIM, ADESIVA,,,,OK,5
1188,PLUG RABO COELHO,SEXSHOP,SEX/ PLUG,,PADRÃO,PADRÃO,Un,"R$10,26"," R$ 40,00 ", SIM, ADESIVA,,,,OK,5
